Date,Agency,Category,Information
19. August 2024,Egyptian Drug Authority,Guidance,Updating the categories of medical supplies allowed to obtain annual import plans
19. August 2024,Egyptian Drug Authority,Guidance,Good Regulatory Oversight of Clinical Trials by Egyptian Drug Authority
19. August 2024,Egyptian Drug Authority,Guidance,Transfer of the type of registered pharmaceuticals
19. August 2024,European Commission,Report,Cyber security in the health and medicine sector:
19. August 2024,European Medicines Agency,Guidance,Biological and chemical threats
19. August 2024,European Medicines Agency,Guidance,"Q&A, Mutual Recognition Agreement (MRA) between the EU and the USA"
19. August 2024,European Medicines Agency,Guidance,FAQs How to manage a clinical trials
19. August 2024,European Medicines Agency,Guidance,"FAQs How to create, submit and withdraw a CTA"
19. August 2024,European Medicines Agency,Guidance,Step-by-step guide Supervise a CT – Ad Hoc Assessment
19. August 2024,European Medicines Agency,Guidance,Instructor’s Guide: Supervise a CT Ad Hoc Assessment
19. August 2024,European Medicines Agency,Guidance,FAQs Supervise a CT – Ad Hoc Assessment
19. August 2024,European Medicines Agency,Guidance,FAQs Transitional trials from EudraCT to CTIS
19. August 2024,European Medicines Agency,Guidance,Quick guide Transitional trials from EudraCT to CTIS (sponsor users)
19. August 2024,European Medicines Agency,Guidance,Clinical Trial Information System Sponsor Handbook
19. August 2024,European Medicines Agency,Guidance,Guide to CTIS Training Catalogue
19. August 2024,IEEE Standards Association | IEEE SA,Standards,Notice of New Standard Product IEEE/ISO 11073-10206-2024
19. August 2024,IEEE Standards Association | IEEE SA,Paper,Key Parameters for Identifying Electronic Health Records without Violating Privacy
19. August 2024,Ministry of Food and Drug Safety of Republic of Korea,Regulation,Regulations on In Vitro Diagnostic Medical Device and Classification
19. August 2024,Medicines and Healthcare products Regulatory Agency,Guidance,Pre-submission Advice & Support
19. August 2024,Medicines and Healthcare products Regulatory Agency,Guidance,Medicines Pipeline data
19. August 2024,Department of Health The Government of the Hong Kong,Guidance,Classification of General Medical Devices (TR-003)
19. August 2024,Swissmedic,Information Sheet,Klassierung und Abklärung von Transfusionsreaktionen
19. August 2024,Swissmedic,Information Sheet,Haemovigilance - Nebenwirkungen bei Blutspenden
19. August 2024,Swissmedic,Information Sheet,Reporting quality defects in labile blood products
19. August 2024,Swissmedic,Information Sheet,Non-standardised medicinal products and medicinal product groups
19. August 2024,Swissmedic,Transitional Provisions,EU IVDR Equivalence with EU Regulation on Medical Devices
19. August 2024,"Therapeutic Goods Administration (TGA), Australia",Consultation,Australian Medical Device Essential Principles - Alignment with the EU
19. August 2024,National Institute of Standards and Technology (NIST),Standards,First 3 Finalized Post-Quantum Encryption Standards
19. August 2024,USA Food & Drug Administration FDA,Consultation,FDA IT Strategy for FY 2024 – FY 2027
12. August 2024,CDSCO India,Circular,Implementation of Schedule M and WHO Technical Report Serie
12. August 2024,Egyptian Drug Authority,Guidance,Lot Release of Biological Products in Egypt
12. August 2024,European Commission,Regulation,Designation of EU UDI issuing entities
12. August 2024,European Commission,EUDAMED,Release note v3.9.0
12. August 2024,European Medicines Agency,Guidance,ICH Guideline M13A on bioequivalence for immediate release solid dosage forms
12. August 2024,European Medicines Agency,Guidance,ICH E2D Post-approval safety data management - Scientific guideline
12. August 2024,European Medicines Agency,Guidance,ICH reflection paper on real-world data to generate real world evidence
12. August 2024,European Medicines Agency,Arrangement,Joint Controllership Arrangement - Union product database (UPD)
12. August 2024,European Medicines Agency,Guidance,Good pharmacovigilance practices (GVP) 5 Revisions
12. August 2024,European Medicines Agency,List,Union list of critical medicines: EudraVigilance Dictionary (XEVMPD)
12. August 2024,European Medicines Agency,Guidance,Clinical Trial Information System (CTIS) - Sponsor handbook
12. August 2024,European Medicines Agency,Guidance,"FAQ, Substance and product data management services"
12. August 2024,European Directorate for the Quality of Medicines & HealthCare,Report,Certification Monthly Report July 2024
12. August 2024,Medicines and Healthcare products Regulatory Agency,Guidance,Register medical devices to place on the market
12. August 2024,Medicines and Healthcare products Regulatory Agency,Guidance,Export medical devices
12. August 2024,Medicines and Healthcare products Regulatory Agency,Guidance,Notify the MHRA about a clinical investigation for a medical device
12. August 2024,Medicines and Healthcare products Regulatory Agency,Guidance,Exporting active UK substances for use in EEA and Northern Ireland
12. August 2024,Department of Health The Government of the Hong Kong,Guidance,Various Guidance Notes and Code of Practice have been updated
12. August 2024,"NMPA-National Medical Products Administration, Peoples Republic of China",Guidance,Inspection of Medical Device Business Quality Management Standards
12. August 2024,Swissmedic,Guidance,Swissdamed
12. August 2024,"Therapeutic Goods Administration (TGA), Australia",Guidance,"Disinfectants, sterilants and sanitary products"
12. August 2024,"Therapeutic Goods Administration (TGA), Australia",Guidance,Changes to the Permissible Ingredients Determination
12. August 2024,"Therapeutic Goods Administration (TGA), Australia",Guidance,Medical device conformity assessment application
12. August 2024,"Therapeutic Goods Administration (TGA), Australia",Guidance,Should your product be in the ARTG
12. August 2024,"Therapeutic Goods Administration (TGA), Australia",Guidance,Varying entries in the ARTG: medical devices and IVDs
12. August 2024,"Therapeutic Goods Administration (TGA), Australia",Guidance,Access Generic Medicines work-sharing initiative operational procedures update
12. August 2024,"Therapeutic Goods Administration (TGA), Australia",Form,Application to amend the Poisons Standard
12. August 2024,"Therapeutic Goods Administration (TGA), Australia",Form,Business Plan 2024-25
12. August 2024,USA Food & Drug Administration FDA,Discussion Paper,Health Equity For Medical Devices
12. August 2024,USA Food & Drug Administration FDA,Guidance,MDSAP Audit Approach
12. August 2024,USA Food & Drug Administration FDA,Plan,Language Access Plan
12. August 2024,USA Food & Drug Administration FDA,Guidance,Optimizing the Dosage of Drugs and Biologics for Oncology Treatment
12. August 2024,USA Food & Drug Administration FDA,Guidance,Developing drugs for treatment of Unresponsive Nonmuscle Bladder Cancer
5. August 2024,CDSCO India,Circular,Circular regarding Requirement of Toxicity Studies for New Drugs SNDs and FDCs
5. August 2024,Egyptian Drug Authority,Guidance,Procedures for issuing a replacement for lost / damaged permit
5. August 2024,European Medicines Agency,Newsflash,CTIS newsflash – 26 July 2024
5. August 2024,European Medicines Agency,Report,Real-world evidence framework to support EU regulatory decision-making
5. August 2024,European Medicines Agency,Infosheet,Review of real-world data studies
5. August 2024,European Medicines Agency,Guidance,Compilation of Union procedures on inspections
5. August 2024,Medicines and Healthcare products Regulatory Agency,Guidance,International Recognition Procedure
5. August 2024,Medicines and Healthcare products Regulatory Agency,Guidance,Access New Active Substance and Biosimilar Work Sharing Initiatives
5. August 2024,Medicines and Healthcare products Regulatory Agency,Report,Human Medicines Regulations 2012 Advisory Bodies Annual Report 2023
5. August 2024,Medicines and Healthcare products Regulatory Agency,Report,British Pharmacopoeia Commission Annual Report 2023
5. August 2024,Medicines and Healthcare products Regulatory Agency,Report,MHRA Annual Report and Accounts
5. August 2024,"Health Sciences Authority (HSA), Singapore",Updates,Regulatory Updates for Therapeutic Product Registration (effective 1 Aug 2024)
5. August 2024,"Health Sciences Authority (HSA), Singapore",Updates,Guidance documents for therapeutic products
5. August 2024,"NMPA-National Medical Products Administration, Peoples Republic of China",Guidance,Expedited Approval Scheme for Medical Device Listing Applications
5. August 2024,Medical Device Authority Malaysia,Updates,Pilot Survey for Unique Device Identification (UDI) In Malaysia
5. August 2024,Swissmedic,Guidance,Terms of Reference - Round Table on Medical Technology
5. August 2024,Swissmedic,Guidance,Ph.Helv. / Anforderungen / Phyto
5. August 2024,Swissmedic,Guidance,Anforderungen PhHelv KomplMedAM
5. August 2024,Swissmedic,Guidance,Handbuch HOMANT Offline 2.4.7.
5. August 2024,Swissmedic,Guidance,HB Handbuch HOMANT Asia
5. August 2024,Swissmedic,Guidance,Code of Conduct: members of the Swissmedic Medicines Expert Committees
5. August 2024,Swissmedic,Guidance,Packaging for human medicinal products
5. August 2024,National Institute of Standards and Technology (NIST),Guidance,Secure Software Development Practices for Generative AI
5. August 2024,"Therapeutic Goods Administration (TGA), Australia",Guidance,Essential Principle 13B guidance
5. August 2024,"Therapeutic Goods Administration (TGA), Australia",Guidance,Regulation of software based medical devices
5. August 2024,"Therapeutic Goods Administration (TGA), Australia",Guidance,Adoption of 13 international guidelines
5. August 2024,"Therapeutic Goods Administration (TGA), Australia",Guidance,Nitrosamine impurities acceptable intakes update
5. August 2024,"Therapeutic Goods Administration (TGA), Australia",Guidance,Submitting a Drug Master File (DMF)
5. August 2024,USA Food & Drug Administration FDA,Report,Office of Surveillance and Epidemiology 2023 Annual Report
5. August 2024,USA Food & Drug Administration FDA,Report,Office of New Drugs (OND) Research Outcomes Report FY2022-23
5. August 2024,USA Food & Drug Administration FDA,Fees,"OTC Monograph Order Request (OMOR), Medical Device User Fees"
5. August 2024,USA Food & Drug Administration FDA,Guidance,"M12 Drug Interaction Studies, Q&A M12 Drug Interaction Studies"
5. August 2024,USA Food & Drug Administration FDA,Guidance,Reprocessing Single-Use Medical Devices: Information for Health Care Facilities
5. August 2024,USA Food & Drug Administration FDA,SOPP,8426: Assignment of Biological & Drug Product Proper Names & Biological Suffixes
29. July 2024,Egyptian Drug Authority,Guidance,Unified link / electronic portal for all submission links to  Directorate of Stability
29. July 2024,Egyptian Drug Authority,Guidance,Requirements for delivering samples to the General Directorate of Evaluation
29. July 2024,Egyptian Drug Authority,Guidance,Monitoring the quality of biologicals after marketing
29. July 2024,Egyptian Drug Authority,Guidance,Mechanisms of the regulatory guide for the rules for implementing
29. July 2024,European Medicines Agency,Guidance,Chapter 3.II: XEVPRM User Guidance
29. July 2024,European Medicines Agency,Guidance,Development and Manufacture of Oligonucleotides
29. July 2024,European Medicines Agency,Statement,International collaboration - real-world evidence (RWE) for regulatory decisions
29. July 2024,European Medicines Agency,Guidance,Guideline on the chemistry of active substances
29. July 2024,European Medicines Agency,Concept paper,Guideline for demonstration of therapeutic equivalence for nasal products
29. July 2024,European Medicines Agency,Meeting,Highlights Committee for Medicinal Products for Human Use 22-25 July 2024
29. July 2024,Health Canada,Consultation,Proposed changes to the guidance on recognized standards
29. July 2024,Medicines and Healthcare products Regulatory Agency,Guidance,Good clinical practice for clinical trials
29. July 2024,South African Health Products Regulatory Authority,Guidance,Guideline for the API Master File (APIMF) Procedure
29. July 2024,South African Health Products Regulatory Authority,Consultation,2.21 ZA-SAHPRA eCTD Specifications v3.1
29. July 2024,Swissmedic,Guidance,Electronic exchange of ICSRs through PV Gateway
29. July 2024,Swissmedic,Guidance,Swiss Module 1 Specification for eCTD Version 1.5
29. July 2024,Swissmedic,Guidance,Online help for the MD publication service
29. July 2024,Swissmedic,Guidance,Incident report user
29. July 2024,Swissmedic,Guidance,Medical devices FAQs Patients
29. July 2024,Swissmedic,Guidance,Vigilance contact person for medical devices
29. July 2024,Swissmedic,Guidance,Out-of-Stock Situation
29. July 2024,Swissmedic,Form,Declaration of interests and Confidentiality Swissmedic Medicines Expert Committee
29. July 2024,Swissmedic,Form,Einfuhr von immunologischen Arzneimittelnoder oder von Blut und Blutprodukten
29. July 2024,Swissmedic,Form,Application for Temporary Authorization
29. July 2024,"Therapeutic Goods Administration (TGA), Australia",Consultation,Proposed changes to the regulation of assistive technologies
29. July 2024,"Therapeutic Goods Administration (TGA), Australia",Consultation,Revision of the guidance document TGA Instructions for Disinfectant Testing
29. July 2024,USA Food & Drug Administration FDA,Guidance,Postapproval Manufacturing Changes to Biosimilar Products Q&A
29. July 2024,USA Food & Drug Administration FDA,Guidance,Recommendations for COVID-19 Convalescent Plasma
29. July 2024,USA Food & Drug Administration FDA,SOPP,SOPP 8101.1: Meetings with Sponsors and Applicants for Drugs & Biologics
29. July 2024,USA Food & Drug Administration FDA,Guidance,Real-World Data: Electronic Health Records & Claims Data to Support Decisions
29. July 2024,USA Food & Drug Administration FDA,Guidance,Container Closure System and Component Changes: Glass Vials and Stoppers.
29. July 2024,USA Food & Drug Administration FDA,Guidance,Providing Over-the-Counter Monograph Submissions in Electronic Format
29. July 2024,USA Food & Drug Administration FDA,Seeking Comment,Immunogenicity Risk of Host Cell Proteins in Recombinant Peptides
29. July 2024,USA Food & Drug Administration FDA,Seeking Comment,Biosimilar Product Development Guidance
29. July 2024,USA Food & Drug Administration FDA,Guidance Snapshot,Digital Health for Remote Data Acquisition in Clinical Investigations
29. July 2024,World Health Organisation WHO,Publication,Improving access to medicines for neurological disorders
22. July 2024,Egyptian Drug Authority,Guidance,Procedures of scientific advice for biological products
22. July 2024,European Commission,Regulation,New EU rules on substances of human origin
22. July 2024,European Medicines Agency,News,: CTIS newsflash - 12 July 2024
22. July 2024,European Medicines Agency,Q&A,Q2 2024 System Demo
22. July 2024,European Medicines Agency,Guidance,EMA EudraVigilance Registration Manual
22. July 2024,European Medicines Agency,Guidance,EudraVigilance - EVWEB User Manual
22. July 2024,European Medicines Agency,Guidance,Addendum clinical tials of vaccines in immunocompromised subjects
22. July 2024,European Directorate for the Quality of Medicines & HealthCare,Seeking Assistance,Ph. Eur. seeks feedback on the use of plastic additive 18
22. July 2024,ISO (International Organization for Standardization),Standard,"ISO Update June 1, 2024 to June 30, 2024"
22. July 2024,"NMPA-National Medical Products Administration, Peoples Republic of China",Announcements,Temporary Import and Use of Medical Devices Urgently for Clinical Use
22. July 2024,Department of Health The Government of the Hong Kong,MDACS,Medical Device Information System
22. July 2024,Department of Health The Government of the Hong Kong,Guidance,Classification of In Vitro Diagnostic Medical Devices (IVDMDs) (TR-006)
22. July 2024,Department of Health The Government of the Hong Kong,Guidance,Guidance Notes for Changes of Listed Medical Devices (GN-10)
22. July 2024,MedTech Europe,Template,Manufacturer’s Declaration in relation to Regulation (EU) 2024/1860
22. July 2024,MedTech Europe,Report,Facts & Figures 2024
22. July 2024,South African Health Products Regulatory Authority,Guidance,Guideline on Co-applicancy
22. July 2024,"Team Notified Body, Europe",Template,IVD Confirmation Letter Template-V2-20240710
22. July 2024,"Therapeutic Goods Administration (TGA), Australia",Guidance,Adopted International Scientific Guidelines
22. July 2024,"Therapeutic Goods Administration (TGA), Australia",Guidance,Adopted International Scientific Guidelines
22. July 2024,"Therapeutic Goods Administration (TGA), Australia",Guidance,Adopted International Scientific Guidelines
22. July 2024,USA Food & Drug Administration FDA,Guidance,Drugs for the Treatment of Partial Onset Seizures: Adults to Pediatric Patients
22. July 2024,USA Food & Drug Administration FDA,Publication,Designs of clinical swallowability assessments of solid oral dosage forms
22. July 2024,USA Food & Drug Administration FDA,Guidance,Application User Fees for Combination Products
22. July 2024,USA Food & Drug Administration FDA,Guidance,Pediatric Inflammatory Bowel Disease: Developing Drugs for Treatment
22. July 2024,USA Food & Drug Administration FDA,Guidance,Blood Pressure and Pulse Donor Eligibility Requirements – Compliance Policy
22. July 2024,USA Food & Drug Administration FDA,Adenda,Guidance Documents CBER is Planning to Publish During Calendar Year 2024
22. July 2024,USA Food & Drug Administration FDA,Toolkit,Supply Chain Security Toolkit for Medical Products
22. July 2024,USA Food & Drug Administration FDA,Newsletter,Division of Standards and Conformity Assessment
22. July 2024,USA Food & Drug Administration FDA,Guidance,Clinical Pharmacology Considerations  -Oligonucleotide Therapeutics
22. July 2024,USA Food & Drug Administration FDA,Guidance,Clinical Pharmacology Considerations  for Radiolabeled Mass Balance Studies
22. July 2024,World Health Organisation WHO,Guidance,"Establishing quality specifications for medicines, vaccines and in vitro diagnostics"
15. July 2024,Egyptian Drug Authority,Guidance,EEC/ 93/42CMDD in case of expiry of quality certificates
15. July 2024,Egyptian Drug Authority,Formulary,Conventional Anticancer Drugs
15. July 2024,European Commission,Guidance,MDCG 2020-16 rev.3 Guidance on Classification Rules for IVDR
15. July 2024,European Commission,Regulation,"Amending EU) 2017/745 & (EU) 2017/746,  gradual roll-out of Eudamed"
15. July 2024,European Commission,Information session,MDR/IVDR for international regulators – 4 July 2024 | IVDR Transition
15. July 2024,European Medicines Agency,Fees,New Fee Regulation (applicable from 1 January 2025)
15. July 2024,European Medicines Agency,Update,2023 annual report of the European Medicines Agency
15. July 2024,European Medicines Agency,Report,Focus group on submission predictability: Final report
15. July 2024,European Medicines Agency,Q&A,Questions and Answers on the 'OPEN' Framework for Non-EU authorities
15. July 2024,European Medicines Agency,Guidance,Procedural advice on paediatric applications
15. July 2024,European Medicines Agency,Guidance,eXtended EudraVigilance Medicinal Product Dictionary (XEVMPD)
15. July 2024,European Medicines Agency,Meeting,Highlights fifth EMA- Association of the European Self Care Industry (AESGP)
15. July 2024,European Medicines Agency,Meeting,Pharmacovigilance Risk Assessment Committee (PRAC) 8-11 July 2024
15. July 2024,European Medicines Agency,Report,2023 SME Annual Report
15. July 2024,European Medicines Agency,Recommendations,Classification of advanced therapy medicinal products
15. July 2024,European Directorate for the Quality of Medicines & HealthCare,Report,Certification Monthly Report June 2024
15. July 2024,Medicines and Healthcare products Regulatory Agency,Guidance,International Recognition Procedure
15. July 2024,Medicines and Healthcare products Regulatory Agency,Blog Post,Navigating the Future: Building the AI and Digital Regulations Service
15. July 2024,Medical Device Authority Malaysia,Timeline,MeDC@St3.0 PROJECT DEVELOPMENT TIMELINE
15. July 2024,"NMPA-National Medical Products Administration, Peoples Republic of China",Announcements,Standards Mutations
15. July 2024,SWISSMEDIC,Guidance,Pflichten mit der Durchführung der Instandhaltung von Medizinprodukten
15. July 2024,SWISSMEDIC,Journal,Swissmedic Journal June 2024
15. July 2024,"Team Notified Body, Europe",Guidance,Transfer Agreement for Surveillance of Legacy Devices V2
15. July 2024,"Team Notified Body, Europe",List,Team-NB Position Paper list (update July 2nd 2024)
15. July 2024,"Therapeutic Goods Administration (TGA), Australia",Guidance,Authorised Prescriber: online system guidance
15. July 2024,"Therapeutic Goods Administration (TGA), Australia",Guidance,Exporting â Ventilator
15. July 2024,"Therapeutic Goods Administration (TGA), Australia",Guidance,Transmissible Spongiform Encephalopathies (TSE)
15. July 2024,USA Food & Drug Administration FDA,Guidance,Q&A Misinformation About Medical Devices and Prescription Drugs
15. July 2024,USA Food & Drug Administration FDA,Guidance,Purpose and Content of Use-Related Risk Analyses
15. July 2024,USA Food & Drug Administration FDA,Guidance,Clinical Considerations for Studies of Devices to Treat Opioid Use Disorder
15. July 2024,USA Food & Drug Administration FDA,Guidance Reminder,Prepare to transition to Laser Notice No. 56
15. July 2024,USA Food & Drug Administration FDA,Guidance,"510k Submissions, Dental Composite Resin Devices | Dental Curing Lights"
15. July 2024,USA Food & Drug Administration FDA,SOPP,Processing and Review Management for Investigational New Drug Applications
15. July 2024,World Health Organisation WHO,Guidance,WHO updates laboratory biosecurity guidance | Radiation safety culture Newsletter: WHO pharmaceuticals NEWSLETTER
8. July 2024, ANVISA Brazil,Technical Note,"RDC ANVISA No. 886, of June 26, 2024"
8. July 2024,Egyptian Drug Authority,Consultation,Guideline for Preclinical testing and clinical investigation for Medical devices
8. July 2024,European Commission,Guidance,Update - MDCG 2021-5 Rev.1 - Guidance on standardisation for medical devices
8. July 2024,European Commission,Factsheet,Cross-border Healthcare 2022: Recent data implementation of Dir. 2011/24/EU
8. July 2024,European Medicines Agency,Template,Products Management Services (PMS) - (IDMP) in Europe - Chapter 7
8. July 2024,European Medicines Agency,Paper,ICH - Integrating real-world evidence into regulatory decision-making
8. July 2024,European Directorate for the Quality of Medicines & HealthCare,Report,2023 EDQM annual report published in new engaging digital format
8. July 2024,European Directorate for the Quality of Medicines & HealthCare,News,European Pharmacopoeia Supplement 11.6
8. July 2024,International Medical Device Regulators Forum,Consultation,Good machine learning practice for medical device development
8. July 2024,International Medical Device Regulators Forum,SOP,IMDRF Standard Operating Procedures
8. July 2024,Medicines and Healthcare products Regulatory Agency,Guidance,Medical devices: UK approved bodies
8. July 2024,Medicines and Healthcare products Regulatory Agency,Guidance,Notify the MHRA about a clinical investigation for a medical device
8. July 2024,Medicines and Healthcare products Regulatory Agency,Guidance,Implementation of medical devices future regime
8. July 2024,Medical Device Authority Malaysia,Announcement,Implementation of MDA-CAB Workshop 2024 Outcomes
8. July 2024,SWISSMEDIC,Application,Fee reduction: clinical investigations & performance studies - Medical Devices
8. July 2024,SWISSMEDIC,Guidance,Guidance document Formal requirements
8. July 2024,SWISSMEDIC,Guidance,SwissPAR
8. July 2024,SWISSMEDIC,Forms,New authorisation of human medicinal products
8. July 2024,SWISSMEDIC,Form,Gesuch Verzicht Betriebsbewilligung Arzneimittel (inkl. Blut) / TpP/GT/GVO
8. July 2024,SWISSMEDIC,Form,Order form for a CPP (Certificate of a Pharmaceutical Product)
8. July 2024,SWISSMEDIC,Guidance,Clinical investigations with medical devices
8. July 2024,SWISSMEDIC,Guidance,Performance studies with IVD
8. July 2024,"Team Notified Body, Europe",Template,Transfer Agreement for Surveillance of Legacy Devices
8. July 2024,"Therapeutic Goods Administration (TGA), Australia",Publication,Cost Recovery Implementation Statement 2024-2025
8. July 2024,"Therapeutic Goods Administration (TGA), Australia",Form,Certified copies of TGA licences and certificates
8. July 2024,"Therapeutic Goods Administration (TGA), Australia",Guidance,Regulatory changes for software based medical devices
8. July 2024,USA Food & Drug Administration FDA,Report,Modernizing the New Drugs Regulatory Program - Impact Narrative 2023.
8. July 2024,USA Food & Drug Administration FDA,News,CDRH Announces Expansion of the Total Product Life Cycle Advisory Program
8. July 2024,USA Food & Drug Administration FDA,Update,NEW Version 2.9 FDALabel: Full-Text Search of Drug Product Labeling
8. July 2024,USA Food & Drug Administration FDA,Guidance,Recognition of Voluntary Consensus Standards - Pharmaceutical Quality
8. July 2024,USA Food & Drug Administration FDA,Guidance,Pharmacoepidemiological Studies Real-World. Safety Assessment of Medicines
8. July 2024,USA Food & Drug Administration FDA,Standard,Measuring the Size of Nanoparticles in Aqueous Media
1. July 2024,European Commission,Guidance,MDCG 2024-10 - Clinical evaluation of orphan medical devices
1. July 2024,European Commission,Consultation,EU Health Technology Assessment Regulation
1. July 2024,European Commission,Report,Serious Adverse Reactions and Events For Tissues And Cells
1. July 2024,European Medicines Agency,Template,GLP compliance: Non-clinical studies GLP compliance (annex to the cover letter)
1. July 2024,European Medicines Agency,Guidance,ICH M12 on drug interaction studies - Scientific guideline
1. July 2024,European Medicines Agency,Guidance,Pre-authorisation guidance
1. July 2024,European Medicines Agency,Guidance,Transfer of marketing authorisation: questions and answers
1. July 2024,European Medicines Agency,Guidance,Q&A Regulation (EU) 2023/1182 for centrally authorised medicinal products
1. July 2024,European Medicines Agency,Meeting,Committee for Medicinal Products for Human Use 24-27 June 2024
1. July 2024,European Medicines Agency,Guidance,Clinical investigation of recombinant & human plasma-derived factor IX products
1. July 2024,European Medicines Agency,Guidance,Clinical Trial Information System (CTIS) - Sponsor handbook
1. July 2024,European Medicines Agency,News,CTIS newsflash - 28 June 2024
1. July 2024,European Medicines Agency,Guidance,Paediatric investigation plan (PIP) - Key elements guidance
1. July 2024,European Directorate for the Quality of Medicines & HealthCare,News,Extractable elements in plastic materials for pharmaceutical use (2.4.35) adopted
1. July 2024,European Directorate for the Quality of Medicines & HealthCare,Report,National requirements for non-prescription medicines & reclassification of medicines
1. July 2024,International Medical Device Regulators Forum,Guidance,In Vitro Diagnostic Medical Device Market Authorization Table of Contents
1. July 2024,International Medical Device Regulators Forum,Guidance,Non-In Vitro Diagnostic Medical Device Market Authorization Table of Contents
1. July 2024,SWISSMEDIC,Form,BW101_10_019e_FO Confirmation electronic submission
1. July 2024,SWISSMEDIC,Template,FSC-Example of a product list
1. July 2024,SWISSMEDIC,Checklist,Inspektion von Systemen der Vigilance betreffend Medizinprodukten
1. July 2024,SWISSMEDIC,Guidance,Authorisation of veterinary medicinal products
1. July 2024,SWISSMEDIC,News,Go-live for the swissdamed Actors module
1. July 2024,"Therapeutic Goods Administration (TGA), Australia",Guidance,Medical device regulation changes
1. July 2024,"Therapeutic Goods Administration (TGA), Australia",Guidance,Prescription lenses: exempt medical devices
1. July 2024,"Therapeutic Goods Administration (TGA), Australia",Guidance,IVD sponsors: a roadmap to market
1. July 2024,"Therapeutic Goods Administration (TGA), Australia",Guidance,Determinations for Australian conformity assessment bodies
1. July 2024,"Therapeutic Goods Administration (TGA), Australia",Guidance,Sponsor six monthly report - supply of unapproved therapeutic goods
1. July 2024,USA Food & Drug Administration FDA,Notice,Laboratory Developed Tests: Small Entity Compliance Guide
1. July 2024,USA Food & Drug Administration FDA,Standards,"List of Recognized Standards, Recognition List Number: 062"
1. July 2024,USA Food & Drug Administration FDA,Report,New Drugs Regulatory Program Modernization – Impact Narrative Update 2023.
1. July 2024,USA Food & Drug Administration FDA,Guidance,Diversity Action Plans - Underrepresented Populations in Clinical Studies
1. July 2024,USA Food & Drug Administration FDA,Update,eSTAR Program
1. July 2024,USA Food & Drug Administration FDA,Report,Real-World Evidence Submissions CBER and CDER
1. July 2024,USA Food & Drug Administration FDA,Science,Natural Language Processing - Directional Pharmacokinetic Drug-Drug Interactions
1. July 2024,USA Food & Drug Administration FDA,Guidance,Essential Drug Delivery Outputs for Devices Delivering Drugs & Biologics
24. June 2024,Bureau of Indian Standards,Standard,IS 23485 Medical Devices - QMS Requirements & Safety & Performance
24. June 2024,Egyptian Drug Authority,Guidance,Announcement of updates in the General Directorate of Stability
24. June 2024,European Commission,Guidance,Phthalates in certain medical devices
24. June 2024,European Commission,Guidance,"MDCG 2022-13 Rev.1 Designation, re-assessment and notification of CABs"
24. June 2024,European Commission,Regulation,Regulation (EC) 1234/2008 variations to the terms of marketing authorisations
24. June 2024,European Medicines Agency,News,Faster access to clinical trial information in Europe
24. June 2024,European Medicines Agency,Guidance,15. Updates Clinical Trial Information System CTIS
24. June 2024,European Medicines Agency,Guidance,What EMA publishes and when
24. June 2024,"Health Products Regulatory Authority (HPRA) , Ireland",Guidance,Updated questions and answers on the Windsor Framework
24. June 2024,International Council for Harmonisation,Meeting,"ICH Assembly Meeting, Fukuoka, Japan, June 2024"
24. June 2024,"NMPA-National Medical Products Administration, Peoples Republic of China",Guidance,20 medical device registration review guidelines
24. June 2024,SWISSMEDIC,Guidance,Simplification of requirements for renewed authorisation of medicinal products
24. June 2024,SWISSMEDIC,Guidance,Requesting product certificates (CPP)
24. June 2024,"Therapeutic Goods Administration (TGA), Australia",Guidance,Conformity assessment procedures for immunohematology reagents
24. June 2024,USA Food & Drug Administration FDA,Regulations,Final rule that establishes certification regulations for certain medical gases
24. June 2024,USA Food & Drug Administration FDA,Guidance,Facility Readiness: Goal Date Decisions Under GDUFA
24. June 2024,USA Food & Drug Administration FDA,Update,Recognized Consensus Standards database
24. June 2024,USA Food & Drug Administration FDA,Report,Enhancing Clinical Study Diversity
24. June 2024,USA Food & Drug Administration FDA,Request,input on certain Non-Device Software Functions and Impacts to Patient Safety
24. June 2024,USA Food & Drug Administration FDA,Study,Interpretation of info about Rx drugs in scientific publications vs. promotional pieces
24. June 2024,USA Food & Drug Administration FDA,Guidance,"Delaying, Denying, Limiting, or Refusing a Drug or Device Inspection"
24. June 2024,USA Food & Drug Administration FDA,Guidance,Demonstrating Interchangeability With a Reference Product: Update
24. June 2024,USA Food & Drug Administration FDA,Update,Laboratory Developed Tests
24. June 2024,World Health Organisation WHO,Report,Global Patient Safety Report 2024
17. June 2024,European Commission,Guidance,MDCG 2024-1-5 - Urogynaecological Surgical Mesh Implants (June 2024)
17. June 2024,European Commission,Meeting,MDCG Subgroup on Standards (WG 2)
17. June 2024,European Commission,Guidance,Guidance on outcomes for joint clinical assessments
17. June 2024,European Commission,Guidance,Reporting requirements in joint clinical assessments
17. June 2024,European Medicines Agency,Guidance,Variations categories and procedures: Regulation (EC) No 1234/2008
17. June 2024,European Medicines Agency,Guidance,IRIS guide for applicants
17. June 2024,European Medicines Agency,Meeting,Pharmacovigilance Risk Assessment Committee (PRAC) June 2024
17. June 2024,European Directorate for the Quality of Medicines & HealthCare,Report,Certification Monthly Report
17. June 2024,"NMPA-National Medical Products Administration, Peoples Republic of China",Standards,List of Mandatory Standards for Medical Device Products
17. June 2024,"MEDSAFE, New Zealand",Guidance,Guidelines on the Regulation of Therapeutic Products in New Zealand
